Rule,target_alignment,num_layers,seed
PC,0.9999999403953552,1,1482555873
PC,0.9792439937591552,2,1482555873
PC,0.9782066941261292,3,1482555873
PC,0.9970157742500304,4,1482555873
PC,0.949783444404602,5,1482555873
PC,0.8186968564987183,6,1482555873
PC,0.9688751697540284,7,1482555873
PC,0.8584896326065063,8,1482555873
PC,0.9707924723625184,9,1482555873
PC,0.9558884501457214,10,1482555873
PC,0.8994114995002747,11,1482555873
PC,0.7786112427711487,12,1482555873
PC,0.7225725650787354,13,1482555873
PC,0.7553374171257019,14,1482555873
PC,0.8030071258544922,15,1482555873
PC,0.9039531946182252,16,1482555873
PC,0.7862629294395447,17,1482555873
PC,0.954058825969696,18,1482555873
PC,0.9322206377983092,19,1482555873
PC,0.7405762076377869,20,1482555873
PC,0.8606457710266113,21,1482555873
PC,0.902024745941162,22,1482555873
PC,0.9272794127464294,23,1482555873
PC,0.7818940877914429,24,1482555873
PC,0.899486780166626,25,1482555873
BP,0.9999999403953552,1,1482555873
BP,0.9019076228141784,2,1482555873
BP,0.8285326361656189,3,1482555873
BP,0.8271172046661377,4,1482555873
BP,0.7720208764076233,5,1482555873
BP,0.6650670766830444,6,1482555873
BP,0.6748930811882019,7,1482555873
BP,0.5319103598594666,8,1482555873
BP,0.7173759937286377,9,1482555873
BP,0.6080129146575928,10,1482555873
BP,0.4897361695766449,11,1482555873
BP,0.4863354563713074,12,1482555873
BP,0.5210474729537964,13,1482555873
BP,0.555260419845581,14,1482555873
BP,0.3560688495635986,15,1482555873
BP,0.4317247271537781,16,1482555873
BP,0.496976763010025,17,1482555873
BP,0.0024454302620142,18,1482555873
BP,0.4776358604431152,19,1482555873
BP,-0.0654080808162689,20,1482555873
BP,-0.2333577126264572,21,1482555873
BP,-0.0410924926400184,22,1482555873
BP,0.4536105692386627,23,1482555873
BP,-0.0624041482806205,24,1482555873
BP,0.4986506998538971,25,1482555873
PC,1.0000001192092896,1,698841058
PC,0.9905047416687012,2,698841058
PC,0.9757927656173706,3,698841058
PC,0.9825392961502076,4,698841058
PC,0.9513185620307922,5,698841058
PC,0.9594870805740356,6,698841058
PC,0.9801535606384276,7,698841058
PC,0.9600287675857544,8,698841058
PC,0.9787902235984802,9,698841058
PC,0.9333115220069884,10,698841058
PC,0.8575197458267212,11,698841058
PC,0.8859832286834717,12,698841058
PC,0.8371641039848328,13,698841058
PC,0.8691775798797607,14,698841058
PC,0.8649937510490417,15,698841058
PC,0.8994360566139221,16,698841058
PC,0.7801339626312256,17,698841058
PC,0.8284716606140137,18,698841058
PC,0.9072670340538024,19,698841058
PC,0.8287327885627747,20,698841058
PC,0.8815306425094604,21,698841058
PC,0.8139688372612,22,698841058
PC,0.8130372166633606,23,698841058
PC,0.8674708604812622,24,698841058
PC,0.8873335123062134,25,698841058
BP,1.0000001192092896,1,698841058
BP,0.9063902497291564,2,698841058
BP,0.8519362211227417,3,698841058
BP,0.8058471083641052,4,698841058
BP,0.773756206035614,5,698841058
BP,0.7968138456344604,6,698841058
BP,0.728845477104187,7,698841058
BP,0.821596086025238,8,698841058
BP,0.7184820771217346,9,698841058
BP,0.5775465369224548,10,698841058
BP,0.6090584397315979,11,698841058
BP,0.5574901103973389,12,698841058
BP,0.6461734771728516,13,698841058
BP,0.5419706702232361,14,698841058
BP,0.5232551693916321,15,698841058
BP,0.6000012159347534,16,698841058
BP,0.4933197796344757,17,698841058
BP,0.4725037515163421,18,698841058
BP,0.5926034450531006,19,698841058
BP,0.3571370840072632,20,698841058
BP,0.4567260444164276,21,698841058
BP,0.4165240228176117,22,698841058
BP,0.3777059316635132,23,698841058
BP,0.5041966438293457,24,698841058
BP,0.3018217980861664,25,698841058
PC,1.0000001192092896,1,2283198659
PC,0.9951063990592957,2,2283198659
PC,0.9840518236160278,3,2283198659
PC,0.9719066619873048,4,2283198659
PC,0.9259660243988036,5,2283198659
PC,0.921151041984558,6,2283198659
PC,0.9310047030448914,7,2283198659
PC,0.8989810347557068,8,2283198659
PC,0.9517022371292114,9,2283198659
PC,0.7681072950363159,10,2283198659
PC,0.8584451079368591,11,2283198659
PC,0.9722853302955629,12,2283198659
PC,0.9277466535568236,13,2283198659
PC,0.987303912639618,14,2283198659
PC,0.7525070309638977,15,2283198659
PC,0.9737505912780762,16,2283198659
PC,0.790103554725647,17,2283198659
PC,0.946172297000885,18,2283198659
PC,0.9187340140342712,19,2283198659
PC,0.8925449848175049,20,2283198659
PC,0.9331386089324952,21,2283198659
PC,0.9550787210464478,22,2283198659
PC,0.7669099569320679,23,2283198659
PC,0.9642119407653807,24,2283198659
PC,0.8719797134399414,25,2283198659
BP,1.0000001192092896,1,2283198659
BP,0.9371675848960876,2,2283198659
BP,0.8795767426490784,3,2283198659
BP,0.825462281703949,4,2283198659
BP,0.6195407509803772,5,2283198659
BP,0.6954037547111511,6,2283198659
BP,0.7348031401634216,7,2283198659
BP,0.703022301197052,8,2283198659
BP,0.7026940584182739,9,2283198659
BP,0.5296615958213806,10,2283198659
BP,0.4903356432914734,11,2283198659
BP,0.5995143055915833,12,2283198659
BP,0.5778785943984985,13,2283198659
BP,0.5472076535224915,14,2283198659
BP,0.2912708520889282,15,2283198659
BP,0.4931231737136841,16,2283198659
BP,0.419646292924881,17,2283198659
BP,0.2788776755332947,18,2283198659
BP,0.3442313969135284,19,2283198659
BP,-0.119401529431343,20,2283198659
BP,0.1802964657545089,21,2283198659
BP,0.5864454507827759,22,2283198659
BP,0.2575650513172149,23,2283198659
BP,0.0513086281716823,24,2283198659
BP,0.137926384806633,25,2283198659
PC,1.0,1,1855152618
PC,0.9962807893753052,2,1855152618
PC,0.9728385210037231,3,1855152618
PC,0.9374600052833556,4,1855152618
PC,0.9370418787002563,5,1855152618
PC,0.8655022978782654,6,1855152618
PC,0.9164965748786926,7,1855152618
PC,0.9533323645591736,8,1855152618
PC,0.9036125540733336,9,1855152618
PC,0.9819324612617492,10,1855152618
PC,0.8553862571716309,11,1855152618
PC,0.950581192970276,12,1855152618
PC,0.9355525970458984,13,1855152618
PC,0.949152946472168,14,1855152618
PC,0.8476847410202026,15,1855152618
PC,0.908148229122162,16,1855152618
PC,0.6801451444625854,17,1855152618
PC,0.7902724742889404,18,1855152618
PC,0.7284539937973022,19,1855152618
PC,0.7735424637794495,20,1855152618
PC,0.6106464862823486,21,1855152618
